inversiones,time_merge,time_quick
0,0.002207,0.001243
249950,0.002207,0.001243
499900,0.002242,0.001001
749850,0.002234,0.000941
999800,0.002288,0.000919
1249750,0.002257,0.00093
1499700,0.002202,0.000914
1749650,0.002261,0.000906
1999600,0.002221,0.000926
2249550,0.002227,0.000944
2499500,0.002232,0.000924
2749450,0.002223,0.000948
2999400,0.00225,0.000924
3249350,0.002228,0.000955
3499300,0.002251,0.000966
3749250,0.002239,0.00094
3999200,0.002231,0.00094
4249150,0.002228,0.000958
4499100,0.002218,0.00092
4749050,0.002239,0.000936
4999000,0.002193,0.000949
5248950,0.002133,0.000967
5498900,0.002228,0.000938
5748850,0.002183,0.000957
5998800,0.002188,0.000952
6248750,0.002205,0.000988
6498700,0.002222,0.000938
6748650,0.002191,0.000937
6998600,0.00216,0.000945
7248550,0.00225,0.000953
7498500,0.001817,0.000825
7748450,0.001422,0.000694
7998400,0.00131,0.000804
8248350,0.00129,0.000856
8498300,0.001314,0.001218
8748250,0.001283,0.001618
8998200,0.001292,0.001992
9248150,0.0013,0.002167
9498100,0.001347,0.003096
9748050,0.001283,0.003729
9998000,0.001282,0.004431
10247950,0.001253,0.005356
10497900,0.001242,0.006461
10747850,0.001254,0.007512
10997800,0.001261,0.008945
11247750,0.001255,0.010371
11497700,0.001239,0.011985
11747650,0.001253,0.014165
11997600,0.001218,0.016936
12247550,0.001219,0.019844
12497500,0.001166,0.025365
