inversiones,time_merge,time_quick
29796971,2.635,1.245
29596992,2.646,1.255
29397013,2.687,1.279
29197034,2.649,1.234
28997055,2.691,1.249
28797076,2.655,1.208
28597097,2.662,1.222
28397118,2.664,1.213
28197139,2.734,1.245
27997160,2.695,1.238
27797181,2.681,1.214
27597202,2.684,1.24
27397223,2.735,1.266
27197244,2.703,1.249
26997265,2.683,1.263
26797286,2.678,1.213
26597307,2.72,1.23
26397328,2.715,1.242
26197349,2.707,1.236
25997370,2.709,1.27
25797391,2.716,1.258
25597412,2.72,1.268
25397433,2.7,1.286
25197454,2.72,1.311
24997475,2.672,1.292
24797496,2.723,1.266
24597517,2.701,1.3
24397538,2.732,1.268
24197559,2.661,1.243
23997580,2.752,1.222
23797601,2.689,1.263
23597622,2.732,1.239
23397643,2.768,1.262
23197664,2.749,1.239
22997685,2.678,1.248
22797706,2.695,1.254
22597727,2.774,1.258
22397748,2.747,1.275
22197769,2.722,1.256
21997790,2.734,1.256
21797811,2.758,1.226
21597832,2.712,1.253
21397853,2.75,1.295
21197874,2.742,1.251
20997895,2.769,1.246
20797916,2.762,1.283
20597937,2.75,1.223
20397958,2.692,1.25
20197979,2.741,1.214
