inversiones,time_merge,time_quick
29896911,2.6,1.287
29796922,2.608,1.271
29696933,2.593,1.269
29596944,2.586,1.261
29496955,2.602,1.237
29396966,2.61,1.265
29296977,2.608,1.265
29196988,2.633,1.266
29096999,2.639,1.237
28997010,2.616,1.253
28897021,2.61,1.25
28797032,2.592,1.23
28697043,2.602,1.246
28597054,2.603,1.223
28497065,2.683,1.216
28397076,2.608,1.226
28297087,2.593,1.219
28197098,2.594,1.202
28097109,2.617,1.215
27997120,2.597,1.229
27897131,2.595,1.222
27797142,2.629,1.243
27697153,2.606,1.255
27597164,2.687,1.242
27497175,2.649,1.214
27397186,2.65,1.257
27297197,2.6,1.262
27197208,2.634,1.279
27097219,2.615,1.229
26997230,2.604,1.284
26897241,2.649,1.235
26797252,2.604,1.216
26697263,2.619,1.255
26597274,2.597,1.26
26497285,2.609,1.243
26397296,2.616,1.222
26297307,2.628,1.241
26197318,2.64,1.239
26097329,2.64,1.236
25997340,2.644,1.251
25897351,2.61,1.264
25797362,2.64,1.243
25697373,2.65,1.286
25597384,2.625,1.269
25497395,2.614,1.246
25397406,2.631,1.28
25297417,2.627,1.247
25197428,2.646,1.259
25097439,2.626,1.29
24997450,2.61,1.288
24897461,2.637,1.283
24797472,2.659,1.298
24697483,2.625,1.242
24597494,2.631,1.233
24497505,2.675,1.228
24397516,2.662,1.26
24297527,2.622,1.242
24197538,2.625,1.22
24097549,2.66,1.249
23997560,2.69,1.251
23897571,2.637,1.239
23797582,2.654,1.252
23697593,2.614,1.242
23597604,2.655,1.243
23497615,2.63,1.23
23397626,2.646,1.245
23297637,2.644,1.25
23197648,2.673,1.242
23097659,2.649,1.25
22997670,2.653,1.257
22897681,2.661,1.212
22797692,2.632,1.226
22697703,2.665,1.231
22597714,2.617,1.251
22497725,2.655,1.2
22397736,2.537,1.266
22297747,2.685,1.279
22197758,2.664,1.238
22097769,2.66,1.218
21997780,2.657,1.266
21897791,2.645,1.243
21797802,2.66,1.207
21697813,2.642,1.229
21597824,2.658,1.235
21497835,2.659,1.228
21397846,2.669,1.219
21297857,2.639,1.246
21197868,2.524,1.231
21097879,2.671,1.23
20997890,2.689,1.248
20897901,2.675,1.241
20797912,2.675,1.233
20697923,2.664,1.22
20597934,2.642,1.226
20497945,2.678,1.227
20397956,2.661,1.218
20297967,2.502,1.201
20197978,2.683,1.224
20097989,2.667,1.231
19998000,2.567,1.212
