inversiones,time_merge,time_quick
49495050,2.352,85.845
48995100,2.399,77.79
48495150,2.445,70.828
47995200,2.414,65.589
47495250,2.44,60.324
46995300,2.465,56.159
46495350,2.51,52.137
45995400,2.477,49.296
45495450,2.48,43.991
44995500,2.458,41.132
44495550,2.465,38.222
43995600,2.512,35.321
43495650,2.474,32.6
42995700,2.529,30.171
42495750,2.486,28.162
41995800,2.549,24.976
41495850,2.661,24.986
40995900,2.586,22.56
40495950,2.525,19.351
39996000,2.513,17.198
39496050,2.579,15.284
38996100,2.587,13.753
38496150,2.549,12.504
37996200,2.547,12.483
37496250,2.598,9.98
36996300,2.669,8.819
36496350,2.621,7.409
35996400,2.559,6.438
35496450,2.516,5.945
34996500,2.567,4.843
34496550,2.573,4.137
33996600,2.571,3.536
33496650,2.613,3.179
32996700,2.534,2.709
32496750,2.616,2.154
31996800,2.551,1.873
31496850,2.546,1.687
30996900,2.611,1.37
30496950,2.597,1.313
29997000,2.595,1.279
29497050,2.639,1.241
28997100,2.615,1.27
28497150,2.598,1.249
27997200,2.63,1.245
27497250,2.552,1.227
26997300,2.615,1.225
26497350,2.601,1.206
25997400,2.631,1.261
25497450,2.641,1.248
24997500,2.641,1.316
24497550,2.643,1.317
23997600,2.69,1.237
23497650,2.619,1.256
22497750,2.707,1.247
21997800,2.679,1.221
21497850,2.629,1.27
23497650,2.619,1.256
20997900,2.695,1.257
20497950,2.717,1.228
19998000,2.662,1.292
19498050,2.692,1.22
18998100,2.69,1.236
18498150,2.697,1.233
17998200,2.666,1.242
17498250,2.689,1.263
16998300,2.648,1.203
16498350,2.681,1.218
15998400,2.688,1.258
15498450,2.715,1.247
14998500,2.709,1.214
14498550,2.747,1.247
13998600,2.762,1.256
13498650,2.696,1.22
12998700,2.734,1.226
12498750,2.738,1.221
11998800,2.767,1.229
11498850,2.692,1.23
10998900,2.671,1.214
10498950,2.722,1.195
9999000,2.691,1.201
9499050,2.756,1.224
8999100,2.683,1.207
8499150,2.754,1.19
7999200,2.69,1.191
7499250,2.752,1.213
6999300,2.748,1.193
6499350,2.771,1.206
5999400,2.719,1.24
5499450,2.714,1.234
4999500,2.706,1.198
4499550,2.731,1.194
3999600,2.742,1.228
3499650,2.748,1.249
2999700,2.734,1.284
2499750,2.757,1.27
1999800,2.693,1.26
1499850,2.702,1.482
999900,2.707,1.542
499950,2.663,2.084
0,2.241,92.692
