inversiones,time_merge,time_quick
25218616,3.018,1.241
25037874,3.078,1.247
24952264,3.084,1.245
24920065,3.119,1.248
25218616,3.018,1.241
25037874,3.078,1.247
24952264,3.084,1.245
24920065,3.119,1.248
25082341,3.078,1.237
24852537,3.1,1.217
25333787,3.116,1.232
24972157,3.104,1.243
24904823,3.101,1.236
25418089,3.104,1.21
24643738,3.03,1.248
24955723,3.096,1.249
25191904,3.075,1.244
24768638,3.07,1.264
24993227,3.068,1.213
25046572,3.066,1.227
24969674,3.062,1.221
25261164,3.126,1.227
25054548,3.081,1.238
25285222,3.109,1.256
24702548,3.075,1.241
24762206,3.122,1.237
24817016,3.116,1.279
24785007,3.146,1.224
24876751,3.094,1.266
24909848,3.061,1.227
24946315,3.053,1.244
25151715,3.056,1.249
24904238,3.034,1.256
25170521,3.05,1.243
24987228,3.097,1.268
25070153,3.084,1.237
25264640,3.087,1.228
24725575,3.038,1.251
24846102,3.105,1.273
24927384,3.121,1.245
24600763,3.018,1.242
24649061,3.031,1.25
24945089,3.093,1.242
24724278,3.054,1.233
25136924,3.05,1.244
24990270,3.063,1.216
24680326,3.11,1.252
25026616,3.083,1.233
25110016,3.035,1.228
24787528,3.021,1.234
25182738,3.118,1.253
24977672,3.091,1.252
25205517,3.122,1.231
25013177,3.11,1.233
24703831,3.057,1.239
24946147,3.084,1.234
25075789,3.082,1.254
25034401,3.058,1.233
24793932,3.089,1.236
25178406,3.12,1.25
24755538,3.072,1.248
24939427,3.015,1.244
25221342,3.084,1.221
24864480,3.026,1.236
24829617,2.998,1.237
24862877,3.048,1.262
25057902,3.034,1.224
25250623,3.063,1.234
24821817,3.076,1.248
25137278,3.096,1.236
25096120,3.12,1.221
24978150,3.102,1.226
25063773,3.03,1.23
24826510,3.146,1.242
25331254,3.06,1.246
25080361,3.138,1.232
24752193,3.095,1.222
25104841,3.106,1.227
24978163,3.095,1.223
24945393,3.116,1.242
25190554,3.114,1.244
25068940,3.025,1.228
24934644,3.0872,1.193
24760454,3.051,1.237
25022073,3.107,1.255
24921346,3.137,1.246
24938192,3.126,1.258
24764928,3.055,1.265
24832559,3.117,1.216
24810684,3.085,1.236
24934719,3.145,1.235
25035091,3.04,1.235
24806568,3.038,1.245
24752620,3.014,1.232
24903775,3.0888,1.228
24811490,3.046,1.2
24965600,3.009,1.257
24963389,3.057,1.258
24830724,3.0868,1.246
24931398,3.082,1.187
25023076,3.0863,1.237
